data_flow_name,priority,link_identifier,target_link_table_physical_name,source_table_identifier,source_column_physical_name,source_column_data_type,source_column_required,source_column_default_value,source_column_computation,source_data_type,prejoin_table_identifier,prejoin_table_column_name,prejoin_extraction_column_name,prejoin_target_column_alias,business_key_driving_flag,business_key_column_description,business_key_column_business_description,business_key_column_business_name,business_key_column_business_alias,business_key_column_acronym_name,hub_identifier,hub_table_physical_name,hub_reference_number,hub_primary_key_physical_name,hub_business_key_physical_name,hub_business_key_column_number,hub_business_key_data_type,target_column_physical_name,target_column_sort_order,target_primary_key_physical_name,attribute_flag,hard_rules
NULL,,L0001,solution_contact_sfdc_l,SRC0001,sf4twitter__Contact__c,STRING,FALSCH,(unknown),,STRING,SRC0002,Id,Contact_Key__c,,,,,,,,H0002,contact_h,2,hk_contact_h,Contact_Key__c,1,STRING,hk_contact_h,2,hk_solution_contact_sfdc_l,,NULL
NULL,,L0001,solution_contact_sfdc_l,SRC0001,SolutionNumber,STRING,WAHR,,,STRING,,,,,,,,,,,H0001,solution_h,1,hk_solution_h,SolutionNumber,1,STRING,hk_solution_h,1,hk_solution_contact_sfdc_l,,NULL
